trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,False,"{'a': 0.1, 'e': 0.5486898605815875}",25,2,-61.110891463197746,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 1}",1
134,False,"{'a': 0.1, 'e': 0.542404292695003}",20,11,3.24904181729873,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.1, 'e': 0.5360882147099709}",25,0,-126.10270721036437,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
136,False,"{'a': 0.1, 'e': 0.5297419819042124}",20,2,11.618838895794449,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.1, 'e': 0.5233659512516495}",20,1,-49.65175624817131,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
138,False,"{'a': 0.1, 'e': 0.5169604814023254}",30,0,-112.61119818732607,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
139,False,"{'a': 0.1, 'e': 0.5105259326622303}",20,7,-17.138309054115396,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
140,False,"{'a': 0.1, 'e': 0.5040626669730338}",35,0,-113.90046391341787,"{0: 26, 1: 0, 2: 7, 3: 0, 4: 2}",1
141,False,"{'a': 0.1, 'e': 0.49757104789172696}",20,0,-81.70930806726275,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
142,False,"{'a': 0.1, 'e': 0.49105144057017147}",25,15,6.38561900322597,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.1, 'e': 0.48450421173456026}",20,10,-7.890072299942552,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.1, 'e': 0.47792972966478875}",20,5,-19.569319794606756,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
145,False,"{'a': 0.1, 'e': 0.47132836417373997}",20,0,7.043219833658574,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
146,False,"{'a': 0.1, 'e': 0.4647004865864824}",20,7,-30.8756698282042,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.1, 'e': 0.45804646971938234}",20,0,-36.23411847185421,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
148,False,"{'a': 0.1, 'e': 0.45136668785913436}",20,2,-14.95945495431075,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
149,False,"{'a': 0.1, 'e': 0.4446615167417068}",30,0,-27.021390820049863,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
150,False,"{'a': 0.1, 'e': 0.43793133353120717}",20,16,10.789453603478348,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.1, 'e': 0.4311765167986662}",30,13,4.651781423737519,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
152,False,"{'a': 0.1, 'e': 0.4243974465007442}",20,8,13.814645621390753,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.1, 'e': 0.4175945039583582}",20,14,-0.36320254067112545,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.1, 'e': 0.41076807183523206}",25,6,-61.122200283376785,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
155,False,"{'a': 0.1, 'e': 0.40391853411637296}",20,14,10.170837260249732,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.1, 'e': 0.3970462760864716}",30,24,13.875607609642483,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.1, 'e': 0.3901516843082303}",30,15,25.855298838907732,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.1, 'e': 0.38323514660061825}",35,8,-44.063454028139454,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 1}",1
159,False,"{'a': 0.1, 'e': 0.3762970520170581}",25,11,-39.219861849974585,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
160,False,"{'a': 0.1, 'e': 0.369337790823541}",30,23,7.794382200385574,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.1, 'e': 0.3623577544766736}",30,16,-13.285447092048498,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.1, 'e': 0.35535733560166033}",30,15,-71.21584504036122,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 2}",1
163,False,"{'a': 0.1, 'e': 0.348336927970217}",25,0,-30.478587203776144,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
164,False,"{'a': 0.1, 'e': 0.34129692647842197}",20,10,-10.19105689937947,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.1, 'e': 0.3342377271245026}",25,0,22.60119767926178,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
166,False,"{'a': 0.1, 'e': 0.3271597269865614}",25,14,23.328356834931157,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.1, 'e': 0.32006332420023986}",30,16,22.870526995907305,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.1, 'e': 0.31294891793632384}",25,8,-5.410666431930574,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.1, 'e': 0.30581690837828934}",20,11,-1.3813515341475209,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.1, 'e': 0.2986676966997937}",30,18,-31.476438346849854,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
171,False,"{'a': 0.1, 'e': 0.29150168504210905}",20,13,13.236846051971026,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.1, 'e': 0.28431927649150124}",25,16,11.011225591298373,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.1, 'e': 0.2771208750565576}",25,18,8.303281368985328,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.1, 'e': 0.2699068856454609}",25,7,11.811452826388887,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.1, 'e': 0.26267771404321355}",25,13,12.632161013000397,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.1, 'e': 0.2554337668888117}",30,0,-51.08220826857922,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
177,False,"{'a': 0.1, 'e': 0.2481754516523729}",30,7,-29.638907504494654,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 0}",1
178,False,"{'a': 0.1, 'e': 0.24090317661221564}",20,9,-31.450567131726494,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
179,False,"{'a': 0.1, 'e': 0.233617350831893}",30,14,6.194044027525276,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
180,False,"{'a': 0.1, 'e': 0.22631838413718425}",25,13,-20.644773545481247,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
181,False,"{'a': 0.1, 'e': 0.2190066870930415}",20,0,-12.086570019016474,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
182,False,"{'a': 0.1, 'e': 0.21168267098049576}",25,8,-0.47965218548413757,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
